Location,Population-2011,Population-2012,Population-2013,Population-2014,Population-2015,Population-2016,Population-2017,Population-2018,Population-2019
United States,303080600,305376600,307505500,310212200,312777900,314466400,317022500,318498500,319249300
Alabama,4676000,4696000,4705800,4714100,4730100,4730100,4741400,4752600,4767100
Alaska,697100,706200,705100,706600,707500,714900,710100,709100,701700
Arizona,6324500,6386300,6465700,6556200,6655100,6760900,6841300,7004300,7098000
Arkansas,2849500,2860200,2868600,2880000,2882300,2895400,2910000,2921300,2922500
California,36862800,37221500,37511300,37981600,38325100,38442400,38713900,38745900,38642700
Colorado,4983900,5045900,5130200,5217000,5315400,5398100,5461100,5555200,5611800
Connecticut,3466400,3479300,3479000,3480400,3478100,3465100,3478700,3466300,3453300
Delaware,880100,888000,898500,905300,918300,924300,931700,937700,940300
District of Columbia,583900,596000,610300,623500,634800,644400,657600,667900,671300
Florida,18614200,18876900,19093200,19431100,19812500,20144000,20532300,20843500,20992000
Georgia,9517400,9616400,9690900,9792900,9909700,10001000,10121400,10212800,10294000
Hawaii,1311900,1330300,1331500,1348100,1362600,1364600,1356100,1354800,1343000
Idaho,1547300,1562500,1580900,1598800,1617200,1650700,1682100,1719600,1750900
Illinois,12553800,12567900,12571100,12569400,12549700,12491200,12496600,12438400,12362300
Indiana,6317100,6338800,6366500,6386700,6415100,6431400,6459400,6487100,6511800
Iowa,2963800,2976000,2990300,3002100,3019800,3030400,3045600,3056800,3060200
Kansas,2772200,2787500,2796500,2810700,2816600,2817000,2817600,2814700,2811200
Kentucky,4227900,4235100,4260900,4268800,4283400,4287700,4307100,4320300,4319300
Louisiana,4431200,4457000,4483200,4508500,4530300,4530500,4541500,4519300,4498600
Maine,1292200,1292600,1291900,1293800,1292600,1293800,1300200,1299500,1302300
Maryland,5668600,5722700,5767500,5819300,5838300,5856500,5892900,5870800,5875500
Massachusetts,6360600,6410600,6451500,6506500,6555600,6570600,6620600,6659900,6650800
Michigan,9655100,9659300,9664300,9682700,9693800,9693500,9720300,9770000,9765600
Minnesota,5222300,5256300,5287800,5330400,5365600,5392900,5446600,5489000,5514800
Mississippi,2878500,2884500,2889200,2886800,2889300,2887300,2884500,2879400,2867100
Missouri,5823500,5830600,5853100,5870200,5890900,5898000,5921300,5934500,5939900
Montana,971600,978700,986300,993700,1005900,1015100,1022600,1034000,1039400
Nebraska,1782300,1795100,1811200,1823700,1838400,1845000,1859200,1868900,1873600
Nevada,2675800,2710900,2745400,2795200,2842700,2890400,2946600,2983400,3029700
New Hampshire,1278200,1280100,1280700,1286500,1287600,1291300,1297000,1310300,1314000
New Jersey,8638700,8685500,8716900,8756200,8776300,8762700,8823900,8728300,8699400
New Mexico,2036500,2039200,2040200,2036700,2035300,2029400,2038200,2045300,2041400
New York,18940500,19040100,19119600,19216400,19269200,19221500,19315700,19016900,18908300
North Carolina,9353100,9439200,9522500,9632900,9733700,9829900,9948800,10044400,10139700
North Dakota,657100,671900,693500,708400,726400,725900,726000,730600,731000
Ohio,11224600,11222100,11239600,11270300,11293300,11278700,11323500,11355900,11351500
Oklahoma,3664800,3689500,3726900,3749500,3783700,3800800,3803700,3816100,3826900
Oregon,3793500,3825500,3851600,3889600,3948700,4014500,4063000,4110800,4128900
Pennsylvania,12318300,12347600,12344300,12368000,12386400,12364700,12389100,12388100,12377600
Rhode Island,1007400,1007900,1008600,1013700,1014400,1013900,1015900,1014000,1017100
South Carolina,4519500,4569100,4616200,4674300,4734000,4805300,4864600,4929800,4984200
South Dakota,791400,800400,811600,821600,829000,835800,837000,848700,851300
Tennessee,6230500,6277400,6318700,6374800,6422800,6467700,6538200,6586400,6640900
Texas,25006100,25384300,25773000,26280100,26777500,27178300,27621300,28024000,28286200
Utah,2767500,2801700,2849400,2891800,2945200,2999300,3047400,3105900,3154100
Vermont,599800,600700,602700,600000,602400,599600,600200,600600,598100
Virginia,7783700,7865500,7945700,8006000,8051200,8080900,8140700,8182100,8185100
Washington,6654400,6732900,6797800,6887600,7002800,7124100,7239800,7368000,7423900
West Virginia,1802200,1801800,1798200,1791600,1791500,1781700,1762100,1752300,1739000
Wisconsin,5549900,5566100,5592500,5603600,5620900,5623300,5643000,5662800,5677100
Wyoming,551600,559000,567300,568500,568900,569400,563300,560300,562700
Puerto Rico,3671700,3634000,3582000,3514000,3443200,3379100,3304800,3164400,3164500
