Location,Air Pollution,Asthma,Smoking,Population,Population_Density,Year
,locat,,,,,
Alabama,11,8,24.3,4696000,92.72386218,2012
,,,,,,
Alaska,6,8.2,22.9,706200,1.237555661,2012
,,,,,,
Arizona,9.4,9.7,19.3,6386300,56.22039896,2012
,,,,,,
Arkansas,10.8,9.5,27,2860200,54.96684924,2012
,,,,,,
California,15.3,8.4,13.7,37221500,238.9378543,2012
,,,,,,
Colorado,6.7,8.3,18.3,5045900,48.68586094,2012
,,,,,,
Connecticut,9.3,9.9,17.1,3479300,718.566708,2012
,,,,,,
Delaware,11,9.8,21.7,888000,455.6182658,2012
,,,,,,
Florida,7.6,7.6,19.3,18876900,352.0167832,2012
,,,,,,
Georgia,11.5,9.6,21.2,9616400,167.2039365,2012
,,,,,,
Hawaii,8.9,9.5,16.8,1330300,207.1150553,2012
,,,,,,
Idaho,8.7,9.2,17.2,1562500,18.90662246,2012
,,,,,,
Illinois,11.7,8.1,20.9,12567900,226.3711522,2012
,,,,,,
Indiana,13.1,9.6,25.6,6338800,176.9329537,2012
,,,,,,
Iowa,10.1,8.3,20.4,2976000,53.27890864,2012
,,,,,,
Kansas,9.1,8.8,22,2787500,34.09410585,2012
,,,,,,
Kentucky,11.4,10.4,29,4235100,107.2557362,2012
,,,,,,
Louisiana,9.5,6.4,25.7,4457000,103.1617443,2012
,,,,,,
Maine,7.8,12,22.8,1292600,41.90902312,2012
,,,,,,
Maryland,10.9,8.5,19.1,5722700,589.5436283,2012
,,,,,,
Massachusetts,8.4,10.7,18.2,6410600,821.8717949,2012
,,,,,,
Michigan,9.5,9.9,23.3,9659300,170.8431348,2012
,,,,,,
Minnesota,8.2,7,19.1,5256300,66.01152875,2012
,,,,,,
Mississippi,10,7.7,26,2884500,61.4730516,2012
,,,,,,
Missouri,10.3,9.2,25,5830600,84.81859707,2012
,,,,,,
Montana,7.6,9.1,22.1,978700,6.724334575,2012
,,,,,,
Nebraska,8.2,7.3,20,1795100,23.36639592,2012
,,,,,,
Nevada,8.4,8.1,22.9,2710900,24.69370838,2012
,,,,,,
New Hampshire,7.5,11,19.4,1280100,142.9800067,2012
,,,,,,
New Jersey,9.2,9,16.8,8685500,1181.057928,2012
,,,,,,
New Mexico,6.1,10,21.5,2039200,16.81148906,2012
,,,,,,
New York,9.2,9.7,18.1,19040100,404.0253788,2012
,,,,,,
North Carolina,10,8.8,21.8,9439200,194.1503147,2012
,,,,,,
North Dakota,5.6,8.1,21.9,671900,9.737540036,2012
,,,,,,
Ohio,12,9.8,25.1,11222100,274.6408556,2012
,,,,,,
Oklahoma,9.9,9.6,26.1,3689500,53.78671915,2012
,,,,,,
Oregon,7.3,10.4,19.7,3825500,39.85394008,2012
,,,,,,
Pennsylvania,12,9,22.4,12347600,275.9671904,2012
,,,,,,
Rhode Island,8.4,11.8,20,1007900,974.7582205,2012
,,,,,,
South Carolina,10.5,8.2,23.1,4569100,151.9942783,2012
,,,,,,
South Dakota,6.7,6.9,23,800400,10.55783462,2012
,,,,,,
Tennessee,10.4,7.2,23,6277400,152.234752,2012
,,,,,,
Texas,10.3,7.4,19.2,25384300,97.17147976,2012
,,,,,,
Utah,9.9,8.8,11.8,2801700,34.09638554,2012
,,,,,,
Vermont,7,11.1,19.1,600700,65.1730498,2012
,,,,,,
Virginia,9.7,8.7,20.9,7865500,199.1770068,2012
,,,,,,
Washington,9.3,9.7,17.5,6732900,101.3136511,2012
,,,,,,
West Virginia,11.2,9.2,28.6,1801800,74.95631916,2012
,,,,,,
Wisconsin,10,9.2,20.9,5566100,102.7752133,2012
,,,,,,
Wyoming,5.1,9.1,23,559000,5.757366648,2012
Alabama,10.7,8.6,23.8,4705800,92.91736598,2013
,,,,,,
Alaska,5.4,9,20.5,705100,1.235628004,2013
,,,,,,
Arizona,9.6,8.6,17.1,6465700,56.91937954,2013
,,,,,,
Arkansas,10.7,8.8,25,2868600,55.12827904,2013
,,,,,,
California,15.1,8.8,12.6,37511300,240.798182,2013
,,,,,,
Colorado,6.7,8.9,17.7,5130200,49.49923776,2013
,,,,,,
Connecticut,9,9.9,16,3479000,718.5047501,2013
,,,,,,
Delaware,10.6,9.9,19.7,898500,461.0056439,2013
,,,,,,
Florida,7.6,8.2,17.7,19093200,356.0503497,2013
,,,,,,
Georgia,11.2,8.2,20.4,9690900,168.4992958,2013
,,,,,,
Hawaii,9.1,8.9,14.6,1331500,207.3018839,2013
,,,,,,
Idaho,8.6,8.5,16.4,1580900,19.12926685,2013
,,,,,,
Illinois,11.7,8.5,18.6,12571100,226.4287901,2013
,,,,,,
Indiana,12.6,9.1,24,6366500,177.7061352,2013
,,,,,,
Iowa,9.9,8.1,18.1,2990300,53.53491953,2013
,,,,,,
Kansas,8.9,8.4,19.4,2796500,34.20418547,2013
,,,,,,
Kentucky,11.1,11.1,28.3,4260900,107.9091324,2013
,,,,,,
Louisiana,9.6,7.4,24.8,4483200,103.7681696,2013
,,,,,,
Maine,7.5,11.1,20.3,1291900,41.88632753,2013
,,,,,,
Maryland,10.8,9,16.2,5767500,594.1588544,2013
,,,,,,
Massachusetts,8.1,10.8,16.4,6451500,827.1153846,2013
,,,,,,
Michigan,9.3,10.5,23.3,9664300,170.9315694,2013
,,,,,,
Minnesota,8.1,8,18.8,5287800,66.40712321,2013
,,,,,,
