Location,Asthma,Smoking,Population,Median AQI,Population Density,Crowded Housing,Access to Care - Annual
Alabama,8.0,24.3,4696000.0,40.1764705882353,92.72386217790502,,
Alaska,8.2,22.9,706200.0,22.125,1.2375556610898972,,
Arizona,9.7,19.3,6386300.0,49.53846153846154,56.22039896473405,,
Arkansas,9.5,27.0,2860200.0,38.07142857142857,54.96684923609109,,
California,8.4,13.7,37221500.0,48.7037037037037,238.93785426790518,,
Colorado,8.3,18.3,5045900.0,40.25806451612903,48.68586094440478,,
Connecticut,9.9,17.1,3479300.0,42.375,718.5667079719125,,
Delaware,9.8,21.7,888000.0,43.333333333333336,455.6182657773217,,
Florida,7.6,19.3,18876900.0,35.8974358974359,352.0167832167832,,
Georgia,9.6,21.2,9616400.0,42.90625,167.20393650131274,,
Hawaii,9.5,16.8,1330300.0,64.0,207.115055270123,,
Idaho,9.2,17.2,1562500.0,23.866666666666667,18.906622460462472,,
Illinois,8.1,20.9,12567900.0,36.92307692307692,226.37115221815955,,
Indiana,9.6,25.6,6338800.0,39.61904761904762,176.93295372076145,,
Iowa,8.3,20.4,2976000.0,41.73684210526316,53.27890864171008,,
Kansas,8.8,22.0,2787500.0,34.84615384615385,34.094105847674264,,
Kentucky,10.4,29.0,4235100.0,41.86206896551724,107.25573621030239,,
Louisiana,6.4,25.7,4457000.0,41.54545454545455,103.16174428293677,,
Maine,12.0,22.8,1292600.0,34.0,41.909023117076806,,
Maryland,8.5,19.1,5722700.0,45.266666666666666,589.5436283094674,,
Massachusetts,10.7,18.2,6410600.0,38.416666666666664,821.8717948717949,,
Michigan,9.9,23.3,9659300.0,39.82142857142857,170.84313482728737,,
Minnesota,7.0,19.1,5256300.0,33.285714285714285,66.01152875280998,,
Mississippi,7.7,26.0,2884500.0,40.45454545454545,61.47305159516655,,
Missouri,9.2,25.0,5830600.0,44.22727272727273,84.81859707311396,,
Montana,9.1,22.1,978700.0,28.842105263157894,6.724334574636197,,
Nebraska,7.3,20.0,1795100.0,33.45454545454545,23.36639591794231,,
Nevada,8.1,22.9,2710900.0,36.2,24.693708383053533,,
New Hampshire,11.0,19.4,1280100.0,37.142857142857146,142.98000670166425,,
New Jersey,9.0,16.8,8685500.0,40.625,1181.0579276584172,,
New Mexico,10.0,21.5,2039200.0,32.77777777777778,16.81148906000099,,
New York,9.7,18.1,19040100.0,35.84848484848485,404.0253787718033,,
North Carolina,8.8,21.8,9439200.0,39.5,194.1503146982599,,
North Dakota,8.1,21.9,671900.0,33.666666666666664,9.737540035651657,,
Ohio,9.8,25.1,11222100.0,40.95238095238095,274.6408555835638,,
Oklahoma,9.6,26.1,3689500.0,42.81818181818182,53.78671914862599,,
Oregon,10.4,19.7,3825500.0,27.416666666666668,39.853940075842814,,
Pennsylvania,9.0,22.4,12347600.0,43.78947368421053,275.9671903984981,,
Rhode Island,11.8,20.0,1007900.0,39.0,974.7582205029014,,
South Carolina,8.2,23.1,4569100.0,38.8421052631579,151.9942783007884,,
South Dakota,6.9,23.0,800400.0,38.888888888888886,10.557834615029481,,
Tennessee,7.2,23.0,6277400.0,39.30434782608695,152.23475203104158,,
Texas,7.4,19.2,25384300.0,40.23255813953488,97.17147975745698,,
Utah,8.8,11.8,2801700.0,44.13333333333333,34.096385542168676,,
Vermont,11.1,19.1,600700.0,30.25,65.17304979928393,,
Virginia,8.7,20.9,7865500.0,32.5,199.17700683717396,,
Washington,9.7,17.5,6732900.0,26.275862068965516,101.3136511375948,,
West Virginia,9.2,28.6,1801800.0,39.266666666666666,74.9563191613279,,
Wisconsin,9.2,20.9,5566100.0,36.34375,102.77521326489162,,
Wyoming,9.1,23.0,559000.0,34.78947368421053,5.757366648471054,,
Alabama,8.6,23.8,4705800.0,37.166666666666664,92.91736597887254,,
Alaska,9.0,20.5,705100.0,20.375,1.2356280042969223,,
Arizona,8.6,17.1,6465700.0,46.46153846153846,56.91937954469426,,
Arkansas,8.8,25.0,2868600.0,34.90909090909091,55.12827904295186,,
California,8.8,12.6,37511300.0,49.425925925925924,240.7981820399412,,
Colorado,8.9,17.7,5130200.0,39.63333333333333,49.49923776075336,,
Connecticut,9.9,16.0,3479000.0,44.0,718.5047501032631,,
Delaware,9.9,19.7,898500.0,42.0,461.00564391995897,,
Florida,8.2,17.7,19093200.0,34.921052631578945,356.05034965034963,,
Georgia,8.2,20.4,9690900.0,38.5625,168.49929581138178,,
Hawaii,8.9,14.6,1331500.0,53.5,207.30188385489646,,
Idaho,8.5,16.4,1580900.0,24.214285714285715,19.129266846556877,,
Illinois,8.5,18.6,12571100.0,34.57692307692308,226.42879014391468,,
Indiana,9.1,24.0,6366500.0,37.42857142857143,177.70613520906605,,
Iowa,8.1,18.1,2990300.0,39.473684210526315,53.53491952664841,,
Kansas,8.4,19.4,2796500.0,32.46153846153846,34.20418547193581,,
Kentucky,11.1,28.3,4260900.0,38.0,107.90913235070659,,
Louisiana,7.4,24.8,4483200.0,38.77272727272727,103.76816961392464,,
Maine,11.1,20.3,1291900.0,34.72727272727273,41.88632752974743,,
Maryland,9.0,16.2,5767500.0,42.06666666666667,594.1588544349438,,
Massachusetts,10.8,16.4,6451500.0,38.416666666666664,827.1153846153846,,
Michigan,10.5,23.3,9664300.0,36.357142857142854,170.9315693592034,,
Minnesota,8.0,18.8,5287800.0,33.95,66.40712321197584,,
Mississippi,8.1,24.0,2889200.0,37.3,61.57321569379622,,
Missouri,10.4,23.9,5853100.0,41.09090909090909,85.14590788746327,,
Montana,9.5,19.7,986300.0,28.210526315789473,6.776551743091531,,
Nebraska,7.4,19.7,1811200.0,27.09090909090909,23.57596584400708,,
Nevada,7.4,18.1,2745400.0,37.5,25.007970413823887,,
New Hampshire,10.2,17.2,1280700.0,36.857142857142854,143.04702334413045,,
New Jersey,8.7,17.3,8716900.0,39.125,1185.3277128093555,,
New Mexico,9.2,19.3,2040200.0,33.5,16.819733219014328,,
New York,9.3,16.2,19119600.0,35.37931034482759,405.712345626618,,
North Carolina,7.7,20.9,9522500.0,36.297872340425535,195.86367189106915,,
North Dakota,7.6,21.2,693500.0,37.111111111111114,10.050578977116274,,
Ohio,10.5,23.3,11239600.0,37.292682926829265,275.0691368297399,,
Oklahoma,10.2,23.3,3726900.0,39.391304347826086,54.331948392739996,,
Oregon,10.6,17.9,3851600.0,31.625,40.125849064466394,,
Pennsylvania,10.1,21.4,12344300.0,41.82051282051282,275.89343584471317,,
Rhode Island,10.8,17.4,1008600.0,39.333333333333336,975.4352030947775,,
South Carolina,8.7,22.5,4616200.0,33.73684210526316,153.5610924453611,,
South Dakota,7.5,22.0,811600.0,37.44444444444444,10.705570431731543,,
Tennessee,7.7,24.9,6318700.0,38.4,153.23632836182855,,
Texas,6.8,18.2,25773000.0,38.58139534883721,98.65942916641147,,
Utah,8.9,10.6,2849400.0,44.733333333333334,34.67688937568455,,
