"State","TotalArea","LandArea","WaterArea","Density","Pop"
"Alaska","665384","570641","94743","1.2694","724357"
"Wyoming","97813","97093","720","5.9847","581075"
"Montana","147040","145546","1494","7.4547","1085004"
"North Dakota","70698","69001","1698","11.1596","770026"
"South Dakota","77116","75811","1305","11.8265","896581"
"New Mexico","121590","121298","292","17.3540","2105005"
"Idaho","83569","82643","926","22.5079","1860123"
"Nebraska","77348","76824","524","25.4087","1951996"
"Nevada","110572","109781","791","29.0195","3185786"
"Kansas","82278","81759","520","35.6808","2917224"
"Utah","84897","82170","2727","40.2918","3310774"
"Maine","35380","30843","4537","43.9167","1354522"
"Oregon","98379","95988","2391","44.6872","4289439"
"Iowa","56273","55857","416","56.7158","3167974"
"Colorado","104094","103642","452","56.8653","5893634"
"Oklahoma","69899","68595","1304","58.1740","3990443"
"Arkansas","53179","52035","1143","58.3059","3033946"
"Mississippi","48432","46923","1509","63.2186","2966407"
"Arizona","113990","113594","396","66.2016","7520103"
"Vermont","9616","9217","400","67.6197","623251"
"Minnesota","86936","79627","7309","71.6641","5706398"
"West Virginia","24230","24038","192","73.5443","1767859"
"Missouri","69707","68742","965","89.7419","6169038"
"Alabama","52420","50645","1775","97.4271","4934193"
"Louisiana","52378","43204","9174","107.0966","4627002"
"Wisconsin","65496","54158","11339","108.0633","5852490"
"Kentucky","40408","39486","921","113.4760","4480713"
"Texas","268596","261232","7365","113.8081","29730311"
"Washington","71298","66456","4842","117.3249","7796941"
"New Hampshire","9349","8953","397","153.2674","1372203"
"Tennessee","42144","41235","909","168.4069","6944260"
"South Carolina","32020","30061","1960","175.5707","5277830"
"Michigan","96714","56539","40175","176.7351","9992427"
"Georgia","59425","57513","1912","188.3054","10830007"
"Indiana","36420","35826","593","189.9644","6805663"
"Virginia","42775","39490","3285","217.8776","8603985"
"Hawaii","10932","6423","4509","218.9678","1406430"
"North Carolina","53819","48618","5201","220.1041","10701022"
"Illinois","57914","55519","2395","226.3967","12569321"
"California","163696","155779","7916","254.2929","39613493"
"Pennsylvania","46054","44743","1312","286.1704","12804123"
"Ohio","44826","40861","3965","286.6944","11714618"
"Florida","65758","53625","12133","409.2229","21944577"
"New York","54555","47126","7429","409.5400","19299981"
"Delaware","2489","1949","540","508.1242","990334"
"Maryland","12406","9707","2699","624.8518","6065436"
"Connecticut","5543","4842","701","733.7507","3552821"
"Massachusetts","10554","7800","2754","886.1845","6912239"
"Rhode Island","1545","1034","511","1026.6044","1061509"
"New Jersey","8723","7354","1368","1206.7609","8874520"
