Location,Population-2016,Population-2017,Population-2018,Population-2019
United States,314466400,317022500,318498500,319249300
Alabama,4730100,4741400,4752600,4767100
Alaska,714900,710100,709100,701700
Arizona,6760900,6841300,7004300,7098000
Arkansas,2895400,2910000,2921300,2922500
California,38442400,38713900,38745900,38642700
Colorado,5398100,5461100,5555200,5611800
Connecticut,3465100,3478700,3466300,3453300
Delaware,924300,931700,937700,940300
District of Columbia,644400,657600,667900,671300
Florida,20144000,20532300,20843500,20992000
Georgia,10001000,10121400,10212800,10294000
Hawaii,1364600,1356100,1354800,1343000
Idaho,1650700,1682100,1719600,1750900
Illinois,12491200,12496600,12438400,12362300
Indiana,6431400,6459400,6487100,6511800
Iowa,3030400,3045600,3056800,3060200
Kansas,2817000,2817600,2814700,2811200
Kentucky,4287700,4307100,4320300,4319300
Louisiana,4530500,4541500,4519300,4498600
Maine,1293800,1300200,1299500,1302300
Maryland,5856500,5892900,5870800,5875500
Massachusetts,6570600,6620600,6659900,6650800
Michigan,9693500,9720300,9770000,9765600
Minnesota,5392900,5446600,5489000,5514800
Mississippi,2887300,2884500,2879400,2867100
Missouri,5898000,5921300,5934500,5939900
Montana,1015100,1022600,1034000,1039400
Nebraska,1845000,1859200,1868900,1873600
Nevada,2890400,2946600,2983400,3029700
New Hampshire,1291300,1297000,1310300,1314000
New Jersey,8762700,8823900,8728300,8699400
New Mexico,2029400,2038200,2045300,2041400
New York,19221500,19315700,19016900,18908300
North Carolina,9829900,9948800,10044400,10139700
North Dakota,725900,726000,730600,731000
Ohio,11278700,11323500,11355900,11351500
Oklahoma,3800800,3803700,3816100,3826900
Oregon,4014500,4063000,4110800,4128900
Pennsylvania,12364700,12389100,12388100,12377600
Rhode Island,1013900,1015900,1014000,1017100
South Carolina,4805300,4864600,4929800,4984200
South Dakota,835800,837000,848700,851300
Tennessee,6467700,6538200,6586400,6640900
Texas,27178300,27621300,28024000,28286200
Utah,2999300,3047400,3105900,3154100
Vermont,599600,600200,600600,598100
Virginia,8080900,8140700,8182100,8185100
Washington,7124100,7239800,7368000,7423900
West Virginia,1781700,1762100,1752300,1739000
Wisconsin,5623300,5643000,5662800,5677100
Wyoming,569400,563300,560300,562700
Puerto Rico,3379100,3304800,3164400,3164500
