Location,Smoking-2016,Smoking-2017,Smoking-2018,Smoking-2019,Smoking-2020
United States,0.164,0.164,0.155,0.153,0.131
Alabama,0.215,0.209,0.192,0.202,0.159
Alaska,0.19,0.21,0.191,0.174,0.165
Arizona,0.147,0.156,0.14,0.149,0.127
Arkansas,0.236,0.223,0.227,0.202,0.187
California,0.11,0.113,0.112,0.1,0.083
Colorado,0.156,0.146,0.145,0.135,0.117
Connecticut,0.133,0.127,0.122,0.121,0.108
Delaware,0.177,0.17,0.165,0.159,0.137
District of Columbia,0.147,0.145,0.138,0.127,0.106
Florida,0.155,0.161,0.145,0.148,0.134
Georgia,0.179,0.175,0.161,0.163,0.145
Hawaii,0.131,0.128,0.134,0.123,0.106
Idaho,0.145,0.143,0.147,0.153,0.134
Illinois,0.158,0.155,0.155,0.145,0.115
Indiana,0.211,0.218,0.211,0.192,0.183
Iowa,0.167,0.171,0.166,0.164,0.146
Kansas,0.172,0.174,0.173,0.162,0.152
Kentucky,0.245,0.246,0.234,0.236,0.199
Louisiana,0.228,0.231,0.205,0.219,0.164
Maine,0.198,0.173,0.178,0.176,0.145
Maryland,0.137,0.138,0.125,0.127,0.105
Massachusetts,0.136,0.137,0.134,0.12,0.096
Michigan,0.204,0.193,0.189,0.187,0.156
Minnesota,0.152,0.145,0.151,0.146,0.13
Mississippi,0.227,0.222,0.205,0.204,0.174
Missouri,0.221,0.208,0.194,0.196,0.162
Montana,0.185,0.172,0.18,0.166,0.142
Nebraska,0.17,0.154,0.16,0.147,0.127
Nevada,0.165,0.176,0.157,0.157,0.141
New Hampshire,0.18,0.157,0.156,0.159,0.125
New Jersey,0.14,0.137,0.131,N/A,0.102
New Mexico,0.166,0.175,0.152,0.16,0.145
New York,0.142,0.141,0.128,0.127,0.112
North Carolina,0.179,0.172,0.174,0.185,0.151
North Dakota,0.198,0.183,0.191,0.17,0.151
Ohio,0.225,0.211,0.205,0.208,0.186
Oklahoma,0.196,0.201,0.197,0.189,0.178
Oregon,0.162,0.161,0.156,0.145,0.127
Pennsylvania,0.18,0.187,0.17,0.173,0.141
Rhode Island,0.144,0.15,0.146,0.133,0.125
South Carolina,0.2,0.188,0.18,0.175,0.155
South Dakota,0.181,0.193,0.19,0.183,0.158
Tennessee,0.221,0.226,0.207,0.199,0.181
Texas,0.143,0.157,0.144,0.147,0.128
Utah,0.088,0.089,0.09,0.079,0.071
Vermont,0.17,0.158,0.137,0.151,0.119
Virginia,0.153,0.164,0.149,0.14,0.124
Washington,0.139,0.135,0.12,0.126,0.108
West Virginia,0.248,0.26,0.252,0.238,0.22
Wisconsin,0.171,0.16,0.164,0.154,0.131
Wyoming,0.189,0.187,0.188,0.184,0.17
Guam,0.251,0.264,0.219,0.234,0.165
Puerto Rico,0.106,0.113,0.1,0.096,0.086
U.S. Virgin Islands,0.066,N/A,N/A,N/A,N/A
