AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2021-22,40,13.4,24.2,2,182,270,333,"1,377",> 100%
State,Alabama,All,2021-22,41,11.4,21.6,1,143,218,273,"1,261",> 100%
State,Alabama,All,2021-22,42,8.8,17.3,0,105,154,205,"1,188",> 100%
State,Alabama,All,2021-22,43,9.1,14.7,2,97,109,161,"1,093",> 100%
State,Alabama,All,2021-22,44,7.7,12.6,1,83,81,137,"1,084",> 100%
State,Alabama,All,2021-22,45,6.9,11.2,0,71,71,115,"1,023",> 100%
State,Alabama,All,2021-22,46,6,8.4,0,50,30,70,829,85.3%
State,Alabama,All,2021-22,47,7.3,9.6,0,46,32,61,634,65.3%
State,Alabama,All,2021-22,48,4.5,7.1,0,14,13,22,311,32%
State,Alaska,All,2021-22,40,21.5,33.3,0,29,43,45,135,> 100%
State,Alaska,All,2021-22,41,21.7,34.1,0,28,40,44,129,> 100%
State,Alaska,All,2021-22,42,18.7,29.5,0,26,41,41,139,> 100%
State,Alaska,All,2021-22,43,23.5,38.2,0,32,49,52,136,> 100%
State,Alaska,All,2021-22,44,24.8,34.7,0,25,28,35,101,> 100%
State,Alaska,All,2021-22,45,18.6,25.7,0,13,16,18,70,86.1%
State,Alaska,All,2021-22,46,14,28,0,7,12,14,50,61.5%
State,Alaska,All,2021-22,47,35.3,38.2,0,12,12,13,34,41.8%
State,Alaska,All,2021-22,48,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,Arizona,All,2021-22,40,15.1,19.8,0,230,233,303,"1,528",> 100%
State,Arizona,All,2021-22,41,15.4,21.2,1,232,259,321,"1,516",> 100%
State,Arizona,All,2021-22,42,13.9,19.7,0,201,228,285,"1,448",> 100%
State,Arizona,All,2021-22,43,15.2,22.2,0,233,270,340,"1,533",> 100%
State,Arizona,All,2021-22,44,14.4,20.4,0,218,249,309,"1,513",> 100%
State,Arizona,All,2021-22,45,15.8,24.1,0,249,319,380,"1,579",> 100%
State,Arizona,All,2021-22,46,17.7,25.5,0,269,330,389,"1,524",> 100%
State,Arizona,All,2021-22,47,19.9,28.9,0,235,305,340,"1,178",> 100%
State,Arizona,All,2021-22,48,17.1,27.6,0,113,156,182,659,63.6%
State,Arkansas,All,2021-22,40,12.6,18.3,0,101,111,146,799,> 100%
State,Arkansas,All,2021-22,41,10.3,15.1,0,75,83,110,728,> 100%
State,Arkansas,All,2021-22,42,11.2,15.7,0,83,75,117,743,> 100%
State,Arkansas,All,2021-22,43,11.4,14.7,0,81,67,105,712,> 100%
State,Arkansas,All,2021-22,44,8.3,12.4,0,57,53,85,683,> 100%
State,Arkansas,All,2021-22,45,8.5,10.8,1,59,40,76,702,> 100%
State,Arkansas,All,2021-22,46,9.3,12.1,0,59,41,77,636,> 100%
State,Arkansas,All,2021-22,47,8.3,12.1,1,41,36,61,505,84.3%
State,Arkansas,All,2021-22,48,9.5,15.2,0,25,29,40,264,44.1%
State,California,All,2021-22,40,12.6,16.5,0,759,713,995,"6,015",> 100%
State,California,All,2021-22,41,11.1,14,1,653,549,829,"5,910",> 100%
State,California,All,2021-22,42,11.2,14,0,684,562,857,"6,109",> 100%
State,California,All,2021-22,43,10.7,14,2,620,548,813,"5,818",> 100%
State,California,All,2021-22,44,11.3,14.5,0,641,537,828,"5,691",> 100%
State,California,All,2021-22,45,11.1,14.1,1,596,509,756,"5,376",> 100%
State,California,All,2021-22,46,11.6,14.5,0,511,428,639,"4,414",89.8%
State,California,All,2021-22,47,9.9,12.5,0,290,227,367,"2,927",59.5%
State,California,All,2021-22,48,10.1,12.4,0,117,78,143,"1,154",23.5%
State,Colorado,All,2021-22,40,12.8,19.5,0,122,163,185,950,> 100%
State,Colorado,All,2021-22,41,12.4,17.6,0,126,147,178,"1,013",> 100%
State,Colorado,All,2021-22,42,14.3,21.6,1,144,179,218,"1,011",> 100%
State,Colorado,All,2021-22,43,14.9,22.1,0,154,204,229,"1,034",> 100%
State,Colorado,All,2021-22,44,15.7,23.8,0,174,222,264,"1,108",> 100%
State,Colorado,All,2021-22,45,18.8,27.6,0,197,252,289,"1,046",> 100%
State,Colorado,All,2021-22,46,17.8,26.8,0,171,223,257,959,> 100%
State,Colorado,All,2021-22,47,15.7,26.3,0,106,157,178,676,97.6%
State,Colorado,All,2021-22,48,13.4,21.6,0,44,63,71,328,47.4%
State,Connecticut,All,2021-22,40,8.9,12.2,0,51,34,70,575,99%
State,Connecticut,All,2021-22,41,7.5,10.2,0,43,33,58,571,98.3%
State,Connecticut,All,2021-22,42,9.2,12.8,0,58,40,81,633,> 100%
State,Connecticut,All,2021-22,43,6.8,8.6,0,40,19,51,590,> 100%
State,Connecticut,All,2021-22,44,7.8,10.8,0,37,24,51,473,81.4%
State,Connecticut,All,2021-22,45,10.1,13.2,1,38,26,51,386,66.4%
State,Connecticut,All,2021-22,46,11.3,14.4,0,33,21,42,291,50.1%
State,Connecticut,All,2021-22,47,12.7,16.6,0,26,17,34,205,35.3%
State,Connecticut,All,2021-22,48,17.1,18.3,1,27,13,30,164,28.2%
State,Delaware,All,2021-22,40,16.3,21.2,0,33,33,43,203,> 100%
State,Delaware,All,2021-22,41,8.3,12.8,0,18,20,28,218,> 100%
State,Delaware,All,2021-22,42,10.9,16,0,26,33,38,238,> 100%
State,Delaware,All,2021-22,43,10.6,13.1,0,25,20,31,236,> 100%
State,Delaware,All,2021-22,44,9.9,15.2,0,19,27,29,191,> 100%
State,Delaware,All,2021-22,45,9.3,11.7,0,19,16,24,205,> 100%
State,Delaware,All,2021-22,46,9.7,17.9,0,13,20,24,134,81.7%
State,Delaware,All,2021-22,47,6.8,9.7,0,7,9,10,103,62.8%
State,Delaware,All,2021-22,48,,,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,< 20%
State,District of Columbia,All,2021-22,40,9.7,11.7,0,10,5,12,103,> 100%
State,District of Columbia,All,2021-22,41,11.4,13.6,0,10,5,12,88,94.5%
State,District of Columbia,All,2021-22,42,11.8,12.7,0,12,6,13,102,> 100%
State,District of Columbia,All,2021-22,43,11.2,11.2,0,12,7,12,107,> 100%
State,District of Columbia,All,2021-22,44,6.7,9.3,0,5,3,7,75,80.6%
State,District of Columbia,All,2021-22,45,6.2,7.4,0,5,2,6,81,87%
State,District of Columbia,All,2021-22,46,6,6,0,3,1,3,50,53.7%
State,District of Columbia,All,2021-22,47,3.4,3.4,0,1,0,1,29,31.1%
