Location,Air Pollution,Asthma,Smoking,Population,Population_Density
Alabama,11.0,8.0,24.3,4696000.0,92.72386217790502
Alaska,6.0,8.2,22.9,706200.0,1.2375556610898972
Arizona,9.4,9.7,19.3,6386300.0,56.22039896473405
Arkansas,10.8,9.5,27.0,2860200.0,54.96684923609109
California,15.3,8.4,13.7,37221500.0,238.93785426790518
Colorado,6.7,8.3,18.3,5045900.0,48.68586094440478
Connecticut,9.3,9.9,17.1,3479300.0,718.5667079719125
Delaware,11.0,9.8,21.7,888000.0,455.6182657773217
Florida,7.6,7.6,19.3,18876900.0,352.0167832167832
Georgia,11.5,9.6,21.2,9616400.0,167.20393650131274
Hawaii,8.9,9.5,16.8,1330300.0,207.115055270123
Idaho,8.7,9.2,17.2,1562500.0,18.906622460462472
Illinois,11.7,8.1,20.9,12567900.0,226.37115221815955
Indiana,13.1,9.6,25.6,6338800.0,176.93295372076145
Iowa,10.1,8.3,20.4,2976000.0,53.27890864171008
Kansas,9.1,8.8,22.0,2787500.0,34.094105847674264
Kentucky,11.4,10.4,29.0,4235100.0,107.25573621030239
Louisiana,9.5,6.4,25.7,4457000.0,103.16174428293677
Maine,7.8,12.0,22.8,1292600.0,41.909023117076806
Maryland,10.9,8.5,19.1,5722700.0,589.5436283094674
Massachusetts,8.4,10.7,18.2,6410600.0,821.8717948717949
Michigan,9.5,9.9,23.3,9659300.0,170.84313482728737
Minnesota,8.2,7.0,19.1,5256300.0,66.01152875280998
Mississippi,10.0,7.7,26.0,2884500.0,61.47305159516655
Missouri,10.3,9.2,25.0,5830600.0,84.81859707311396
Montana,7.6,9.1,22.1,978700.0,6.724334574636197
Nebraska,8.2,7.3,20.0,1795100.0,23.36639591794231
Nevada,8.4,8.1,22.9,2710900.0,24.693708383053533
New Hampshire,7.5,11.0,19.4,1280100.0,142.98000670166425
New Jersey,9.2,9.0,16.8,8685500.0,1181.0579276584172
New Mexico,6.1,10.0,21.5,2039200.0,16.81148906000099
New York,9.2,9.7,18.1,19040100.0,404.0253787718033
North Carolina,10.0,8.8,21.8,9439200.0,194.1503146982599
North Dakota,5.6,8.1,21.9,671900.0,9.737540035651657
Ohio,12.0,9.8,25.1,11222100.0,274.6408555835638
Oklahoma,9.9,9.6,26.1,3689500.0,53.78671914862599
Oregon,7.3,10.4,19.7,3825500.0,39.853940075842814
Pennsylvania,12.0,9.0,22.4,12347600.0,275.9671903984981
Rhode Island,8.4,11.8,20.0,1007900.0,974.7582205029014
South Carolina,10.5,8.2,23.1,4569100.0,151.9942783007884
South Dakota,6.7,6.9,23.0,800400.0,10.557834615029481
Tennessee,10.4,7.2,23.0,6277400.0,152.23475203104158
Texas,10.3,7.4,19.2,25384300.0,97.17147975745698
Utah,9.9,8.8,11.8,2801700.0,34.096385542168676
Vermont,7.0,11.1,19.1,600700.0,65.17304979928393
Virginia,9.7,8.7,20.9,7865500.0,199.17700683717396
Washington,9.3,9.7,17.5,6732900.0,101.3136511375948
West Virginia,11.2,9.2,28.6,1801800.0,74.9563191613279
Wisconsin,10.0,9.2,20.9,5566100.0,102.77521326489162
Wyoming,5.1,9.1,23.0,559000.0,5.757366648471054
