"Title: Adults Who Report Smoking by Sex | KFF"
"Timeframe: 2018"
"Location","All Adults","Male","Female",Footnotes
"United States","0.155","0.176","0.136","1"
"Alabama","0.192","0.213","0.173"
"Alaska","0.191","0.208","0.173"
"Arizona","0.140","0.155","0.126"
"Arkansas","0.227","0.239","0.217"
"California","0.112","0.148","0.078"
"Colorado","0.145","0.166","0.124"
"Connecticut","0.122","0.136","0.108"
"Delaware","0.165","0.183","0.149"
"District of Columbia","0.138","0.151","0.126"
"Florida","0.145","0.162","0.128"
"Georgia","0.161","0.177","0.146"
"Hawaii","0.134","0.158","0.109"
"Idaho","0.147","0.159","0.136"
"Illinois","0.155","0.189","0.121"
"Indiana","0.211","0.233","0.190"
"Iowa","0.166","0.180","0.153"
"Kansas","0.173","0.183","0.163"
"Kentucky","0.234","0.232","0.233"
"Louisiana","0.205","0.228","0.183"
"Maine","0.178","0.201","0.155"
"Maryland","0.125","0.140","0.113"
"Massachusetts","0.134","0.152","0.117"
"Michigan","0.189","0.211","0.169"
"Minnesota","0.151","0.168","0.135"
"Mississippi","0.205","0.232","0.181"
"Missouri","0.194","0.205","0.184"
"Montana","0.180","0.187","0.173"
"Nebraska","0.160","0.175","0.145"
"Nevada","0.157","0.173","0.140"
"New Hampshire","0.156","0.160","0.153"
"New Jersey","0.131","0.145","0.117"
"New Mexico","0.152","0.173","0.132"
"New York","0.128","0.150","0.109"
"North Carolina","0.174","0.203","0.149"
"North Dakota","0.191","0.210","0.171"
"Ohio","0.205","0.221","0.190"
"Oklahoma","0.197","0.222","0.172"
"Oregon","0.156","0.154","0.159"
"Pennsylvania","0.170","0.174","0.168"
"Rhode Island","0.146","0.149","0.144"
"South Carolina","0.180","0.198","0.164"
"South Dakota","0.190","0.215","0.163"
"Tennessee","0.207","0.215","0.198"
"Texas","0.144","0.175","0.114"
"Utah","0.090","0.104","0.075"
"Vermont","0.137","0.147","0.127"
"Virginia","0.149","0.173","0.127"
"Washington","0.120","0.135","0.106"
"West Virginia","0.252","0.257","0.248"
"Wisconsin","0.164","0.182","0.146"
"Wyoming","0.188","0.199","0.176"
"Guam","0.219","0.283","0.152"
"Puerto Rico","0.100","0.140","0.065"
"U.S. Virgin Islands","N/A","N/A","N/A"

"Notes"
"Data represent adults who reported that they currently smoke every day or some days. Percentages are weighted to reflect population characteristics."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2020 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set."


Footnotes
"1. US totals exclude data from the territories."
