"Title: Adults Who Report Smoking by Sex | KFF"
"Timeframe: 2020"
"Location","All Adults","Male","Female",Footnotes
"United States","0.131","0.145","0.119","1"
"Alabama","0.159","0.177","0.146"
"Alaska","0.165","0.159","0.171"
"Arizona","0.127","0.146","0.111"
"Arkansas","0.187","0.211","0.167"
"California","0.083","0.099","0.067"
"Colorado","0.117","0.124","0.111"
"Connecticut","0.108","0.118","0.099"
"Delaware","0.137","0.159","0.119"
"District of Columbia","0.106","0.112","0.101"
"Florida","0.134","0.156","0.113"
"Georgia","0.145","0.165","0.127"
"Hawaii","0.106","0.115","0.097"
"Idaho","0.134","0.142","0.126"
"Illinois","0.115","0.121","0.109"
"Indiana","0.183","0.194","0.173"
"Iowa","0.146","0.155","0.137"
"Kansas","0.152","0.161","0.143"
"Kentucky","0.199","0.207","0.191"
"Louisiana","0.164","0.175","0.154"
"Maine","0.145","0.159","0.135"
"Maryland","0.105","0.120","0.092"
"Massachusetts","0.096","0.109","0.085"
"Michigan","0.156","0.162","0.150"
"Minnesota","0.130","0.137","0.123"
"Mississippi","0.174","0.204","0.152"
"Missouri","0.162","0.171","0.155"
"Montana","0.142","0.146","0.139"
"Nebraska","0.127","0.144","0.112"
"Nevada","0.141","0.162","0.123"
"New Hampshire","0.125","0.130","0.121"
"New Jersey","0.102","0.114","0.090"
"New Mexico","0.145","0.165","0.129"
"New York","0.112","0.129","0.097"
"North Carolina","0.151","0.170","0.135"
"North Dakota","0.151","0.167","0.133"
"Ohio","0.186","0.193","0.179"
"Oklahoma","0.178","0.187","0.171"
"Oregon","0.127","0.140","0.116"
"Pennsylvania","0.141","0.147","0.135"
"Rhode Island","0.125","0.129","0.122"
"South Carolina","0.155","0.178","0.137"
"South Dakota","0.158","0.151","0.164"
"Tennessee","0.181","0.189","0.174"
"Texas","0.128","0.154","0.103"
"Utah","0.071","0.075","0.066"
"Vermont","0.119","0.128","0.111"
"Virginia","0.124","0.141","0.109"
"Washington","0.108","0.112","0.104"
"West Virginia","0.220","0.222","0.218"
"Wisconsin","0.131","0.144","0.119"
"Wyoming","0.170","0.181","0.160"
"Guam","0.165","0.216","0.123"
"Puerto Rico","0.086","0.126","0.058"
"U.S. Virgin Islands","N/A","N/A","N/A"

"Notes"
"Data represent adults who reported that they currently smoke every day or some days. Percentages are weighted to reflect population characteristics."
""
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2020 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"


Footnotes
"1. US totals exclude data from the territories."
